ticker,px_chg,eqy_c,val_trade,si_ratio,ev_c,ev_chg,sales_ev,sales2_ev,salesh_ev,ebitda_ev,ebitda2_ev,debt_ev,net_debt_ev,sales_chg_fwd,sales_chg_2fwd,sales_chg_qoq,sales_chg_ltm,ebitda_chg_fwd,ebitda_chg_2fwd
JCOM US Equity,0.043125143,4460.7645,31921578,0.1677777,5495.871392,0.034720835,4.099484488,3.852696384,3.852696384,0.099503238,0.107041442,0.216632253,0.188342653,0.110436969,0.064055944,0.075156806,0.028162388,0.020998126,0.007538204
CYBR US Equity,-0.10543572,3912.9461,149718656,0.02633897,3375.035134,-0.120219804,7.994114341,6.74107767,6.068227916,0.035051487,0.041629196,0,-0.159379378,0.230160927,0.185880765,0.044259134,0.061162213,0.018053145,0.006577709
LOGM US Equity,0.008035062,3411.0832,26772916,0.07735518,3611.136172,0.007586545,2.865981089,2.728130392,2.728130392,0.113972717,0.11021462,0.086293617,0.055398908,0.046518582,0.050529365,0.017432564,0.006015538,0.006778199,-0.003758097
QLYS US Equity,0.002970665,3179.5015,22241502,0.1474097,2808.64457,0.003364239,8.725696281,7.552515503,6.990892195,0.044549959,0.051359293,0.014124607,-0.132041271,0.154158106,0.155336428,0.047595663,0.03724158,0.016328161,0.006809334
FEYE US Equity,0.049300957,3062.3821,44646776,0.0688814,3154.271058,0.047796111,3.61883959,3.351300731,3.335187277,0.026456192,0.036624944,0.342275911,0.029131612,0.048949997,0.079831349,0.033551182,0.0177013,0.056858462,0.010168752
MIME US Equity,-0.070075758,2425.9083,29321744,0.02007994,2476.657407,-0.068738554,5.897744181,4.87256664,4.291505964,0.029243851,0.038778072,0.099967803,0.020490925,0.233729071,0.210397849,0.076339852,0.061188036,0.017641923,0.009534221
TENB US Equity,0.053494392,2365.6074,19326422,0.04697189,2079.163402,0.061316129,5.964067531,4.79920274,4.109890014,-0.019863759,-0.015989123,0.005059727,-0.137768874,0.303916068,0.24272048,0.063299336,0.075521393,0.012066873,0.003874635
CVLT US Equity,0.01077925,2033.5297,25788644,0.03995755,1601.89579,0.013723616,2.368354522,2.285158046,2.285158046,0.056058578,0.068377107,0.012180568,-0.269451985,-0.048641479,0.036407318,-0.105959973,-0.019655197,0.045466129,0.012318529
CBLK US Equity,-0.001154734,1926.8256,51332284,0.008302411,1796.069517,-0.001238718,7.352322756,6.254965354,5.684069844,-0.019858363,-0.01390091,0.009662766,-0.072801191,0.164797543,0.175437807,0.039295717,0.04487232,0.01722038,0.005957453
BAND US Equity,-0.18758465,1683.5941,21056598,0.0614721,1487.664061,-0.207171865,6.327119877,5.304957979,4.746399379,-0.003151921,-0.000266861,0,-0.131703121,0.151935448,0.192680489,0.064852497,0.041458356,-0.011605443,0.00288506
GSKY US Equity,0.064516129,1344.2263,9300955,0.2763455,1427.978237,0.11054029,2.709065522,2.240943088,1.976322794,0.124091527,0.146921007,0.281112828,0.134628803,0.271148592,0.20889528,0.337463838,0.076183417,0.012778906,0.02282948
RDWR US Equity,0.027698574,1184.7749,4518538.5,0.02377583,831.0709645,0.03995809,3.271932931,2.985168694,2.923589159,0.045724134,0.058960067,0.024700658,-0.425600238,0.083599256,0.096062992,-0.015359057,0.013126645,0.024900401,0.013235933
SCWX US Equity,-0.096153846,1030.458,1917919.625,0.269993,940.5420119,-0.104386613,1.731767561,1.626610561,1.626610561,0.003664908,0.012750095,0.029557425,-0.095600195,0.047043718,0.064647926,0.028326885,0.014897505,0.011665614,0.009085187
TIVO US Equity,0.032953105,1025.0988,10334614,0.1359759,1720.88885,0.019371411,2.623306174,2.543812047,2.543812047,0.1065339,0.10924587,0.571258858,0.404320128,-0.057288411,0.03125,0.113356716,0.004985977,0.182173881,0.002711971
MOBL US Equity,0.083333333,842.1497,9559765,0.01323833,758.6827166,0.093357155,3.619237765,3.268423119,3.166050381,0.001766219,0.015685081,0.022550929,-0.110015687,0.085060458,0.107334526,0.057880288,0.023969431,0.053059071,0.013918862
LLNW US Equity,0.181818182,377.6535,4038790,0.07586064,351.595549,0.19796095,1.775735096,1.590930086,1.528033748,0.051289045,0.086178565,0.00825949,-0.074113566,0.011907804,0.116161616,0.060628466,-0.023255689,0.01218161,0.03488952
ALLT US Equity,0.051248357,274.4877,962271.5625,0.009142579,180.176656,0.08022557,1.6580623,1.501472133,1.458743932,-0.026918026,-0.002708453,0.036136757,-0.523436288,0.133873139,0.104291091,0.047825744,0.035707462,0.008386214,0.024209574
VEEV US Equity,-0.067118304,22008.3179,293135584,0.01998155,20598.40875,-0.071384435,18.80465182,16.28189839,15.07663848,0.020287975,0.023744553,0.001080035,-0.068447472,0.270443395,0.154942217,0.0904916,0.0628594,0.00878529,0.003456578
PAYC US Equity,-0.147295105,12587.9005,203727344,0.04271898,11426.78047,-0.159869534,15.6678689,12.68057203,10.92605886,0.026893664,0.033048942,0.005294755,-0.101613924,0.287774395,0.235580608,-0.15319366,0.066158471,0.009095825,0.006155277
TYL US Equity,0.002006405,10019.5643,51286240,0.04497327,10017.00122,0.002006916,9.157706172,8.292219549,8.055599704,0.02875112,0.033257758,0.003974044,-0.000255865,0.169522133,0.104373337,0.113564796,0.040641965,0.007362383,0.004506638
BKI US Equity,-0.023357893,9318.3374,48970748,0.04730361,10966.83747,-0.019916739,9.294536566,8.594700211,8.539819064,0.053180509,0.058732611,0.151164819,0.150316808,0.05917684,0.0814265,0.041681385,0.016240682,0.009229826,0.005552102
GWRE US Equity,0.130070223,8821.136,77380040,0.1190794,8014.220991,0.145066215,10.47154767,9.290503974,8.830238822,0.016096387,0.023520689,0.039594865,-0.100685394,0.063680484,0.127123749,0.276243806,-0.053627105,0.010927575,0.007424302
CDAY US Equity,-0.050543478,7502.5517,48204312,0.08742008,7980.651772,-0.047659863,9.922654095,8.804497397,8.369307183,0.02331777,0.027691974,0.089716983,0.059907388,0.077553591,0.126998356,-0.036327933,0.02334998,0.009609616,0.004374204
AYX US Equity,-0.202867043,7368.2948,308252800,0.05381861,7248.029668,-0.205541293,19.34742654,14.48699048,11.49301881,0.005954722,0.009895103,0.029303274,-0.016592785,0.47740269,0.335503504,0.07922915,0.112759414,0.001318151,0.003940381
SWI US Equity,0.092465753,5936.17,10665398,0.1609251,7699.49317,0.069811084,8.153772449,7.280355806,6.967054673,0.058200065,0.066342029,0.249186921,0.229018061,0.133475535,0.11996895,0.060039297,0.031726544,0.009684274,0.008141964
QTWO US Equity,-0.077115845,3859.0134,38410444,0.1596789,3688.46255,-0.08039493,11.73921881,9.607047453,8.376255132,0.005471114,0.010336827,0.12122883,-0.046239049,0.303193696,0.221938256,0.089065305,0.074040716,0.009550863,0.004865713
NEWR US Equity,0.050628492,3514.8464,95504344,0.02360284,3231.00236,0.055322286,5.454890168,4.542307479,4.034353019,0.025441021,0.034377876,0.1494106,-0.088575918,0.235981011,0.200907291,0.067473145,0.068420888,0.019038055,0.008936855
RAMP US Equity,0.115680616,3137.8226,28749558,0.0932464,2132.345662,0.18004943,5.721852651,4.370554904,3.541255847,-0.021009727,0.012154221,0,-0.471535651,0.304765072,0.309182192,0.053565044,-0.320920044,0.056071585,0.033163948
PRO US Equity,-0.081057139,2503.5223,21758818,0.08332854,2418.250279,-0.083676191,9.751009189,8.261873177,7.475171648,-0.003787036,-0.000976326,0.101019321,-0.035261859,0.258729901,0.180241935,0.138016426,0.08015786,0.011165924,0.00281071
WK US Equity,-0.036049488,2084.3955,26494890,0.0306365,1987.485529,-0.03774091,6.829847177,5.874347251,5.400922096,-0.004178144,0,0.020457004,-0.048760103,0.190943915,0.162656357,0.050326601,0.056422734,0.018970201,0.004178144
DFIN US Equity,0.089301503,422.576,2029246.5,0.06047839,917.476,0.039240717,1.006832373,0.991597947,0.991597947,0.158042281,0.171394129,0.549769149,0.539414655,-0.053738318,0.015363512,0.12761324,-0.03381694,-0.023869834,0.013351848
ECOM US Equity,0.121559633,274.2573,1014654.063,0.02967697,241.5773224,0.1403112,1.855432584,1.771094739,1.771094739,0.071778261,0.089495155,0.067659497,-0.135277598,-0.007758082,0.047619048,0.011338443,-0.00554257,0.07762318,0.017716895
